mun,ano,rf_veiculo,rf,homicidio_doloso,lcd,estupro,id_municipio,pop,gm,gm_ano,tx_rf_veiculo,tx_rf,tx_homicidio_doloso,tx_lcd,tx_estupro,pre_treated,treat
Adamantina,2001,2,285,4,351,2,3500105,33639,0,NA,5.945479948868872,847.2308927138143,11.890959897737744,1043.4317310264871,5.945479948868872,0,0
Adolfo,2001,1,19,0,34,1,3500204,3728,1,1994,26.824034334763947,509.656652360515,0,912.0171673819743,26.824034334763947,1,0
Aguaí,2001,74,672,4,213,2,3500303,28750,1,1992,257.3913043478261,2337.391304347826,13.91304347826087,740.8695652173913,6.956521739130435,1,0
Águas da Prata,2001,1,51,0,29,0,3500402,7135,0,NA,14.01541695865452,714.7862648913805,0,406.4470918009811,0,0,0
Águas de Lindóia,2001,25,319,2,106,4,3500501,16710,0,NA,149.61101137043684,1909.0365050867745,11.968880909634949,634.3506882106523,23.937761819269898,0,0
Águas de Santa Bárbara,2001,4,52,0,28,0,3500550,5384,0,NA,74.29420505200594,965.8246656760773,0,520.0594353640416,0,0,0
Águas de São Pedro,2001,11,56,0,15,0,3500600,1863,1,1978,590.4455179817498,3005.904455179818,0,805.1529790660225,0,1,0
Agudos,2001,38,643,3,193,3,3500709,32764,0,NA,115.98095470638505,1962.5198388475155,9.1563911610304,589.0611646929557,9.1563911610304,0,0
Alambari,2001,5,33,0,20,0,3500758,3713,0,NA,134.661998384056,888.7691893347697,0,538.647993536224,0,0,0
Alfredo Marcondes,2001,0,9,0,32,0,3500808,3711,0,NA,0,242.5222312045271,0,862.3012665049852,0,0,0
Altair,2001,1,24,0,53,0,3500907,3572,0,NA,27.99552071668533,671.8924972004479,0,1483.7625979843226,0,0,0
Altinópolis,2001,15,168,1,79,3,3501004,15701,0,NA,95.5353162218967,1069.995541685243,6.36902108145978,503.1526654353226,19.107063244379336,0,0
Alto Alegre,2001,1,30,0,27,1,3501103,4198,0,NA,23.820867079561694,714.6260123868509,0,643.1634111481658,23.820867079561694,0,0
Alumínio,2001,16,182,4,46,4,3501152,15432,0,NA,103.68066355624676,1179.367547952307,25.92016588906169,298.08190772420943,25.92016588906169,0,0
Álvares Florence,2001,0,21,0,23,0,3501202,4227,0,NA,0,496.80624556423,0,544.1211260941566,0,0,0
Álvares Machado,2001,6,162,3,122,2,3501301,23141,0,NA,25.92800656842833,700.0561773475649,12.964003284214165,527.2028002247093,8.642668856142777,0,0
Álvaro de Carvalho,2001,1,11,0,30,0,3501400,4241,0,NA,23.57934449422306,259.3727894364537,0,707.3803348266918,0,0,0
Alvinlândia,2001,0,9,1,13,0,3501509,2878,0,NA,0,312.7171646977068,34.746351633078525,451.70257123002085,0,0,0
Americana,2001,1245,885,23,778,9,3501608,185552,1,1968,670.9709407605415,476.95524704664996,12.395447098387516,419.2894714150211,4.850392342847288,1,0
Américo Brasiliense,2001,4,187,0,144,2,3501707,29303,0,NA,13.650479473091492,638.1599153670272,0,491.4172610312937,6.825239736545746,0,0
Américo de Campos,2001,2,12,0,44,0,3501806,5596,0,NA,35.7398141529664,214.43888491779842,0,786.2759113652609,0,0,0
Amparo,2001,122,629,3,290,0,3501905,61431,1,1969,198.5967996614087,1023.9130080903777,4.883527860526445,472.07435985088966,0,1,0
Analândia,2001,13,37,0,24,1,3502002,3648,0,NA,356.359649122807,1014.2543859649123,0,657.8947368421052,27.412280701754383,0,0
Andradina,2001,19,887,17,464,5,3502101,55499,0,NA,34.23485107839781,1598.2269950809923,30.63118254382962,836.0511000198202,9.009171336420476,0,0
Angatuba,2001,13,121,0,80,6,3502200,19557,1,2005,66.47236283683591,618.7043002505496,0,409.06069438052873,30.679552078539654,0,0
Anhembi,2001,14,16,0,7,0,3502309,4660,0,NA,300.42918454935625,343.3476394849785,0,150.21459227467813,0,0,0
Anhumas,2001,1,9,0,45,0,3502408,3424,0,NA,29.20560747663551,262.85046728971963,0,1314.252336448598,0,0,0
Aparecida,2001,56,623,3,189,5,3502507,35029,1,2001,159.86753832538753,1778.5263638699364,8.564332410288618,539.552941848183,14.27388735048103,0,1
Aparecida d'Oeste,2001,0,32,1,30,0,3502606,4909,0,NA,0,651.863923405989,20.370747606437156,611.1224281931147,0,0,0
Apiaí,2001,6,214,1,146,3,3502705,27209,1,2007,22.051527068249477,786.5044654342313,3.6752545113749124,536.5871586607373,11.025763534124739,0,0
Araçariguama,2001,43,163,3,39,1,3502754,11652,1,2004,369.03535873669756,1398.9014761414348,25.746652935118433,334.70648815653965,8.58221764503948,0,0
Araçatuba,2001,354,600,38,1,16,3502804,171289,1,1989,206.6682624103124,350.2851905259532,22.184728733310372,0.5838086508765887,9.34093841402542,1,0
Araçoiaba da Serra,2001,41,380,4,97,1,3502903,20408,1,1995,200.90160721285773,1862.0148961191687,19.60015680125441,475.3038024304194,4.900039200313603,1,0
Aramina,2001,4,38,0,29,0,3503000,4847,0,NA,82.52527336496803,783.9900969671963,0,598.3082318960182,0,0,0
Arandu,2001,4,36,1,42,0,3503109,6117,0,NA,65.39153179663234,588.5237861696911,16.347882949158084,686.6110838646396,0,0,0
Arapeí,2001,0,5,0,9,0,3503158,2653,0,NA,0,188.46588767433096,0,339.2385978137957,0,0,0
Araraquara,2001,265,523,35,1,12,3503208,185064,1,2001,143.193705961181,282.6049366705572,18.912376259023905,0.540353607400683,6.484243288808196,0,1
Araras,2001,332,165,11,810,9,3503307,106261,1,1967,312.43824168791934,155.27804180273102,10.3518694535154,762.274023395225,8.469711371058056,1,0
Arco-Íris,2001,2,4,0,11,0,3503356,2185,0,NA,91.53318077803205,183.0663615560641,0,503.4324942791762,0,0,0
Arealva,2001,4,70,0,20,1,3503406,7283,0,NA,54.922422078813675,961.1423863792393,0,274.6121103940684,13.730605519703419,0,0
Areias,2001,0,8,0,20,0,3503505,3637,1,1996,0,219.96150673632116,0,549.9037668408029,0,1,0
Areiópolis,2001,5,31,0,29,0,3503604,10332,1,1991,48.39334107626791,300.03871467286103,0,280.6813782423539,0,1,0
Ariranha,2001,0,22,0,52,0,3503703,7679,0,NA,0,286.49563745279335,0,677.1715067066024,0,0,0
